name,type,isRec
Cho Sun Korean BBQ,BBQ,0
Gyu-Kaku Japanses BBQ,BBQ,0
Na-Re Korean Kitchen,BBQ,0
Blue Water Cafe,Seafood,0
Saku,Cutlet,0
Glowbal,Canadian,0
Joe Fortes,Seafood,0
iDen & Quan Ju De Beijing Duck House,Chinese,0
Kook Korean BBQ Restaurant,BBQ,0
Atlas Steak + Fish,Seafood,0
Miku Vancouver,Sushi,0
Sushi Bar Maumi,Sushi,0
Masayoshi,Sushi,0
Raisu,Japanese,0
Mott 32 Vancouver,Chinese,0
Jingle Bao,Fusion,0
Pink Peppercorn Seafood House,Seafood,0
The Sandbar Seafood Restaurant,Seafood,0
Ancora Waterfront Dining and Patio - False Creek,Seafood,0
Black+Blue,Steak,0
Harbour Oyster + Bar,Seafood,0
Coast,Seafood,0
The Flying Pig Gastown,Canadian,0
Rodney's Oyster House,Seafood,0
Boulevard Kitchen & Oyster Bar,Seafood,0
Hydra Estiatorio,Mediterranean,0
The Captain's Boil,Seafood,0
Shin Ka Gyuu,Japanese,0
